barangay,risklevel,barangay2,risklevel2,checkbarangay,date_updated
1-A,2,23-C,6,23-C,August-8-2020
10-A,2,5-A,5,5-A,
11-B,2,19-B,5,19-B,
12-B,2,Bucana,5,Bucana,
13-B,1,Buhangin Proper,5,Buhangin Proper,
14-B,1,Leon Garcia Sr.,5,Leon Garcia Sr.,
15-B,1,26-C,4,26-C,
16-B,1,27-C,4,27-C,
17-B,1,6-A,3,6-A,
18-B,2,21-C,3,21-C,
19-B,5,22-C,3,22-C,
2-A,2,Cabantian,3,Cabantian,
20-B,2,Agdao Centro,3,Agdao Centro,
21-C,3,Dalagdag,3,Dalagdag,
22-C,3,Maa,3,Maa,
23-C,6,Mandug,3,Mandug,
24-C,1,Matina Crossing,3,Matina Crossing,
25-C,1,San Antonio,3,San Antonio,
26-C,4,Talomo Proper,3,Talomo Proper,
27-C,4,1-A,2,1-A,
28-C,1,2-A,2,2-A,
29-C,1,8-A,2,8-A,
3-A,1,10-A,2,10-A,
30-C,1,11-B,2,11-B,
31-D,2,12-B,2,12-B,
32-D,1,18-B,2,18-B,
33-D,1,20-B,2,20-B,
34-D,1,31-D,2,31-D,
35-D,1,39-D,2,39-D,
36-D,1,40-D,2,40-D,
37-D,1,Agdao Proper,2,Agdao Proper,
38-D,1,Alfonso Angliongto Sr.,2,Alfonso Angliongto Sr.,
39-D,2,Gov. Paciano Bangoy,2,Gov. Paciano Bangoy,
4-A,1,Gov. Vicente Duterte,2,Gov. Vicente Duterte,
40-D,2,Kap. Tomas Monteverde Sr.,2,Kap. Tomas Monteverde Sr.,
5-A,5,Matina Aplaya,2,Matina Aplaya,
6-A,3,Tigatto,2,Tigatto,
7-A,1,Wilfredo Aquino,2,Wilfredo Aquino,
8-A,2,,,,
9-A,1,,,,
Acacia,1,,,,
Agdao Centro,3,,,,
Agdao Proper,2,,,,
Alambre,1,,,,
Alejandra Navarro (Lasang),1,,,,
Alfonso Angliongto Sr.,2,,,,
Angalan,1,,,,
Atan-awe,1,,,,
Baganihan,1,,,,
Bago Aplaya,1,,,,
Bago Gallera,1,,,,
Bago Oshiro,1,,,,
Baguio Proper,1,,,,
Balengaeng,1,,,,
Baliok,1,,,,
Bangkas Heights,1,,,,
Bantol,1,,,,
Baracatan,1,,,,
Bato,1,,,,
Bayabas,1,,,,
Biao Escuela,1,,,,
Biao Guianga,1,,,,
Biao Joaquin,1,,,,
Binugao,1,,,,
Bucana,5,,,,
Buda,1,,,,
Buhangin Proper,5,,,,
Bunawan Proper,1,,,,
Cabantian,3,,,,
Cadalian,1,,,,
Calinan Proper,1,,,,
Callawa,1,,,,
Camansi,1,,,,
Carmen,1,,,,
Catalunan Grande,1,,,,
Catalunan Pequeño,1,,,,
Catigan,1,,,,
Cawayan,1,,,,
Colosas,1,,,,
Communal,1,,,,
Crossing Bayabas,1,,,,
Dacudao,1,,,,
Dalag,1,,,,
Dalagdag,3,,,,
Daliao,1,,,,
Daliaon Plantation,1,,,,
Datu Salumay,1,,,,
Dominga,1,,,,
Dumoy,1,,,,
Eden,1,,,,
Fatima (Benowang),1,,,,
Gatungan,1,,,,
Gov. Paciano Bangoy,2,,,,
Gov. Vicente Duterte,2,,,,
Gumalang,1,,,,
Gumitan,1,,,,
Ilang,1,,,,
Inayangan,1,,,,
Indangan,1,,,,
Kap. Tomas Monteverde Sr.,2,,,,
Kilate,1,,,,
Lacson,1,,,,
Lamanan,1,,,,
Lampianao,1,,,,
Langub,1,,,,
Lapu-lapu,1,,,,
Leon Garcia Sr.,5,,,,
Lizada,1,,,,
Los Amigos,1,,,,
Lubogan,1,,,,
Lumiad,1,,,,
Maa,3,,,,
Mabuhay,1,,,,
Magsaysay,1,,,,
Magtuod,1,,,,
Mahayag,1,,,,
Malabog,1,,,,
Malagos,1,,,,
Malamba,1,,,,
Manambulan,1,,,,
Mandug,3,,,,
Manuel Guianga,1,,,,
Mapula,1,,,,
Marapangi,1,,,,
Marilog Proper,1,,,,
Matina Aplaya,2,,,,
Matina Biao,1,,,,
Matina Crossing,3,,,,
Matina Pangi,1,,,,
Megkawayan,1,,,,
Mintal,1,,,,
Mudiang,1,,,,
Mulig,1,,,,
New Carmen,1,,,,
New Valencia,1,,,,
Pampanga,1,,,,
Panacan,1,,,,
Pandaitan,1,,,,
Pangyan,1,,,,
Paquibato Proper,1,,,,
Paradise Embak,1,,,,
Pañalum,1,,,,
Rafael Castillo,1,,,,
Riverside,1,,,,
Salapawan,1,,,,
Salaysay,1,,,,
Saloy,1,,,,
San Antonio,3,,,,
San Isidro (Licanan),1,,,,
Sasa,1,,,,
Sibulan,1,,,,
Sirawan,1,,,,
Sirib,1,,,,
Sto. Niño,1,,,,
Suawan (Tuli),1,,,,
Subasta,1,,,,
Sumimao,1,,,,
Tacunan,1,,,,
Tagakpan,1,,,,
Tagluno,1,,,,
Tagurano,1,,,,
Talandang,1,,,,
Talomo Proper,3,,,,
Talomo River,1,,,,
Tamayong,1,,,,
Tambobong,1,,,,
Tamugan,1,,,,
Tapak,1,,,,
Tawan-Tawan,1,,,,
Tibuloy,1,,,,
Tibungco,1,,,,
Tigatto,2,,,,
Toril Proper,1,,,,
Tugbok Proper,1,,,,
Tungkalan,1,,,,
Ubalde,1,,,,
Ula,1,,,,
Vicente Hizon Sr.,1,,,,
Waan,1,,,,
Wangan,1,,,,
Wilfredo Aquino,2,,,,
Wines,1,,,,
