,date_encoded,confirmed,recovered,death,remarks,r_confirmed,r_recovered,r_death,r_active
0,Mar-21,2,0,0,,2,0,0,2
1,Mar-28,21,0,3,,23,0,3,20
2,Mar-31,20,5,5,,43,5,8,30
3,Apr-01,6,11,1,,49,16,9,24
4,Apr-02,4,0,2,,53,16,11,26
5,Apr-03,3,2,0,,56,18,11,27
6,Apr-04,3,2,0,,59,20,11,28
7,Apr-05,3,0,0,,62,20,11,31
8,Apr-06,0,0,0,,62,20,11,31
9,Apr-07,3,5,2,,65,25,13,27
10,Apr-08,4,10,0,,69,35,13,21
11,Apr-09,2,4,0,,71,39,13,19
12,Apr-10,0,0,0,,71,39,13,19
13,Apr-11,3,2,2,,74,41,15,18
14,Apr-12,0,0,0,,74,41,15,18
15,Apr-13,0,0,0,,74,41,15,18
16,Apr-14,2,0,1,,76,41,16,19
17,Apr-15,3,1,1,,79,42,17,20
18,Apr-16,2,1,0,,81,43,17,21
19,Apr-17,3,2,0,,84,45,17,22
20,Apr-18,0,1,0,one patient recovered but readmitted,84,46,17,21
21,Apr-19,6,0,0,,90,46,17,27
22,Apr-20,3,0,0,,93,46,17,30
23,Apr-21,5,1,0,,98,47,17,34
24,Apr-22,1,0,1,,99,47,18,34
25,Apr-23,0,2,0,,99,49,18,32
26,Apr-24,1,1,0,,100,50,18,32
27,Apr-25,1,2,0,,101,52,18,31
28,Apr-26,7,5,1,,108,57,19,32
29,Apr-27,0,0,0,,108,57,19,32
