date_encoded,positive,recovered,death,r_positive,r_recovered,r_death,r_active
Mar-21,2,0,0,2,0,0,2
Mar-28,21,0,3,23,0,3,20
Mar-31,20,5,5,43,5,8,30
Apr-01,6,11,1,49,16,9,24
Apr-02,4,0,2,53,16,11,26
Apr-03,3,2,0,56,18,11,27
Apr-04,3,2,0,59,20,11,28
Apr-05,3,0,0,62,20,11,31
Apr-06,0,0,0,62,20,11,31
Apr-07,3,5,2,65,25,13,27
Apr-08,4,10,0,69,35,13,21
Apr-09,2,4,0,71,39,13,19
Apr-10,0,0,0,71,39,13,19
Apr-11,3,2,2,74,41,15,18
Apr-12,0,0,0,74,41,15,18
Apr-13,0,0,0,74,41,15,18
Apr-14,2,0,1,76,41,16,19
Apr-15,3,1,1,79,42,17,20
Apr-16,2,1,0,81,43,17,21
Apr-17,3,2,0,84,45,17,22
Apr-18,0,1,0,84,46,17,21
Apr-19,6,0,0,90,46,17,27
Apr-20,3,0,0,93,46,17,30
Apr-21,5,1,0,98,47,17,34
Apr-22,1,0,1,99,47,18,34
Apr-23,0,2,0,99,49,18,32
Apr-24,1,1,0,100,50,18,32
Apr-25,1,2,0,101,52,18,31
Apr-26,7,5,1,108,57,19,32
Apr-27,0,0,0,108,57,19,32
Apr-28,5,2,0,113,59,19,35
Apr-29,1,0,0,114,59,19,36
Apr-30,5,4,1,119,63,20,36
May-01,0,0,0,119,63,20,36
May-02,4,0,0,123,63,20,40
May-03,3,2,0,126,65,20,41
May-04,0,1,0,126,66,20,40
May-05,11,0,1,137,66,21,50
May-06,7,1,0,144,67,21,56
May-07,1,0,0,145,67,21,57
May-08,1,12,0,146,79,21,46
May-09,14,0,1,160,79,22,59
May-10,1,2,0,161,81,22,58
May-11,0,0,0,161,81,22,58
May-12,0,0,1,161,81,23,57
May-13,0,1,0,161,82,23,56
May-14,8,0,1,169,82,24,63
May-15,10,1,1,179,83,25,71
May-16,3,9,0,182,92,25,65
