Date,Confirmed,Recovered,Death,R_Confirmed,R_Recovered,R_Death,R_Active
Mar-29,3,0,0,3,0,0,3
Mar-30,1,0,0,4,0,0,4
Mar-31,2,0,0,6,0,0,6
Apr-01,0,0,0,6,0,0,6
Apr-02,0,0,0,6,0,0,6
Apr-03,3,0,0,9,0,0,9
Apr-04,0,0,0,9,0,0,9
Apr-05,0,0,0,9,0,0,9
Apr-06,0,0,0,9,0,0,9
Apr-07,0,0,0,9,0,0,9
Apr-08,1,0,0,10,0,0,10
Apr-09,0,3,0,10,3,0,7
Apr-10,-1,0,0,9,3,0,6
Apr-11,0,0,0,9,3,0,6
Apr-12,0,0,0,9,3,0,6
Apr-13,0,1,0,9,4,0,5
Apr-14,0,0,0,9,4,0,5
Apr-15,0,0,0,9,4,0,5
Apr-16,0,0,0,9,4,0,5
Apr-17,0,0,0,9,4,0,5
Apr-18,0,0,0,9,4,0,5
Apr-19,0,0,0,9,4,0,5
Apr-20,0,0,0,9,4,0,5
Apr-21,0,1,0,9,5,0,4
Apr-22,0,0,0,9,5,0,4
Apr-23,0,0,0,9,5,0,4
Apr-24,0,0,0,9,5,0,4
Apr-25,0,0,0,9,5,0,4
Apr-26,0,0,0,9,5,0,4
Apr-27,0,2,0,9,7,0,2
Apr-28,0,0,0,9,7,0,2
Apr-29,0,0,0,9,7,0,2
Apr-30,1,1,1,10,8,1,1
May-01,0,0,0,10,8,1,1
May-02,0,1,0,10,9,1,0
May-03,0,0,0,10,9,1,0
May-04,0,0,0,10,9,1,0
May-05,0,0,0,10,9,1,0
May-06,0,0,0,10,9,1,0
May-07,0,0,0,10,9,1,0
May-08,0,0,0,10,9,1,0
May-09,0,0,0,10,9,1,0
May-10,0,0,0,10,9,1,0
May-11,0,0,0,10,9,1,0
May-12,0,0,0,10,9,1,0
May-13,0,0,0,10,9,1,0
May-14,0,0,0,10,9,1,0
May-15,4,0,1,14,9,2,3
May-16,0,0,0,14,9,2,3
May-17,0,0,0,14,9,2,3
May-18,0,0,0,14,9,2,3
May-19,0,0,0,14,9,2,3
May-20,0,0,0,14,9,2,3
May-21,0,0,0,14,9,2,3
May-22,0,1,0,14,10,2,2
May-23,0,0,0,14,10,2,2
May-24,0,0,0,14,10,2,2
May-25,0,0,0,14,10,2,2
May-26,0,0,1,14,10,3,1
May-27,0,0,0,14,10,3,1
May-28,0,1,0,14,11,3,0
May-29,1,0,0,15,11,3,1
May-30,0,0,1,15,11,4,0
May-31,0,0,0,15,11,4,0
Jun-01,0,0,0,15,11,4,0
Jun-02,0,0,0,15,11,4,0
