Date,PUM,PUI,ActiveCase
Apr-01,94,10,5
Apr-02,93,13,6
Apr-03,91,14,6
Apr-04,98,18,9
Apr-05,98,18,9
Apr-06,32,16,9
Apr-07,32,11,9
Apr-08,21,11,9
Apr-09,49,4,7
Apr-10,50,1,7
Apr-11,50,1,7
Apr-12,50,1,7
Apr-13,50,0,5
Apr-14,50,1,5
Apr-15,50,1,5
Apr-16,4,1,5
Apr-17,6,1,5
Apr-18,6,1,5
Apr-19,15,1,5
Apr-20,28,1,5
Apr-21,28,1,5
Apr-22,27,2,4
Apr-23,29,1,4
Apr-24,39,1,4
Apr-25,15,3,4
Apr-26,17,2,4
Apr-27,17,2,4
Apr-28,17,2,4
Apr-29,36,2,2
Apr-30,44,2,1
May-01,43,4,1
May-02,47,6,0
May-03,51,5,0
May-04,78,5,0
May-05,96,3,0
May-06,71,0,0
May-07,71,0,0
May-08,82,0,0
May-09,82,0,0
May-10,82,0,0
May-11,108,1,0
May-12,97,1,0
May-13,97,1,0
May-14,80,1,0
May-15,80,1,0
May-16,80,1,0
May-17,80,1,0
May-18,80,1,0
May-19,57,0,0
May-20,57,0,0
May-21,57,0,0
May-22,49,0,0
May-23,21,1,0
May-24,21,1,0
May-25,21,1,0
May-26,29,0,0
May-27,45,0,0
May-28,80,0,0
May-29,97,0,0
May-30,97,0,0
May-31,123,3,0
Jun-01,123,3,0
Jun-02,135,5,0
Jun-03,129,4,0
Jun-04,129,4,0
Jun-05,136,1,1
Jun-06,136,1,1
Jun-07,141,0,3
